Wage,Age,Club,League,Nation,Position,Apps,Caps,Wage by Apps
3380000,25,Southampton,Premier League,ENG,Defender,132,5,25606
3380000,27,Fulham,Premier League,SRB,Forward,357,74,9467
3380000,32,Wolves,Premier League,ENG,Defender,464,0,7284
3380000,25,Aston Villa,Premier League,POL,Defender,214,7,15794
3380000,31,Fulham,Premier League,POR,Defender,257,34,13151
3380000,25,West Ham,Premier League,CIV,Defender,241,28,14024
3380000,24,Everton,Premier League,ENG,Defender,172,2,19651
3380000,26,Nottm Forest,Premier League,SEN,Defender,235,0,14382
3380000,28,Newcastle,Premier League,SCO,Midfilder,273,22,12380
3380000,36,Man UFC,Premier League,ENG,Goalkeeper,347,3,9740
3380000,23,Arsenal,Premier League,JPN,Defender,170,28,19882
3380000,26,West Ham,Premier League,MAR,Defender,168,25,20119
3380000,25,Fulham,Premier League,FRA,Defender,187,0,18074
3380000,34,West Ham,Premier League,ITA,Defender,388,13,8711
3380000,24,Aston Villa,Premier League,BRA,Midfilder,173,9,19537
3370000,27,Capitoline,Serie A,NED,Defender,178,3,18932
3362000,35,OGC Nice,Ligue 1 Uber Eats,DEN,Goalkeeper,579,84,5806
3354000,31,Parthenope,Serie A,POR,Defender,314,11,10681
3353000,27,OM,Ligue 1 Uber Eats,ESP,Goalkeeper,223,2,15035
3319000,25,Parthenope,Serie A,KOR,Defender,149,42,22275
3319000,26,Inter,Serie A,CMR,Goalkeeper,191,30,17376
3319000,33,Bologna,Serie A,AUT,Forward,393,102,8445
3319000,30,Parthenope,Serie A,GER,Midfilder,334,1,9937
3267000,26,VfL Wolfsburg,Bundesliga,GER,Forward,158,7,20677
3267000,31,OL,Ligue 1 Uber Eats,POR,Goalkeeper,319,14,10241
3224000,24,RB Leipzig,Bundesliga,GER,Defender,147,9,21931
3198000,24,OL,Ligue 1 Uber Eats,FRA,Midfilder,168,1,19035
3190000,28,Sampdoria,Serie A,ITA,Defender,146,1,21849
3190000,28,Lazio,Serie A,ALB,Defender,307,71,10390
